path,speaker_id,utterance_id,crop_start_sec,crop_end_sec,v2_3_score,pool,trigger_words,phone_pattern,crop_words_estimated,transcript,reason_selected,v2_baseline_score,pool_v2_baseline
dataset/negative/speech_expanded/7976_7976-105575-0027_neg_035.wav,7976,7976-105575-0027,3.0,4.0,0.904333,hard,hero,IH R OW,MAKE GRANT THE HERO,IT REQUIRED MONTHS AND GREAT EVENTS TO MAKE GRANT THE HERO OF THE ARMY WHICH HE AFTERWARD BECAME,estimated crop window contains <IY|IH> R <vowel>,0.986631,hard
dataset/negative/speech_expanded/1255_1255-90413-0010_neg_064.wav,1255,1255-90413-0010,1.0,2.0,0.841443,hard,madeira,IH R AH,TURN MADEIRA INTO,JUST AS THEY TURN MADEIRA INTO PORT IN THE SPACE OF A SINGLE NIGHT SO THIS OLD AIR HAS BEEN TAKEN AND DOCTORED AND TWISTED ABOUT AND BROUGHT OUT AS A NEW POPULAR DITTY INDEED,estimated crop window contains <IY|IH> R <vowel>,0.841406,hard
dataset/negative/speech_expanded/1995_1995-1836-0001_neg_013.wav,1995,1995-1836-0001,3.0,4.0,0.760749,hard,appearances,IH R AH,APPEARANCES AN ASSURED FACT,AT LAST THE COTTON COMBINE WAS TO ALL APPEARANCES AN ASSURED FACT AND HE WAS SLATED FOR THE SENATE,estimated crop window contains <IY|IH> R <vowel>,0.830558,hard
dataset/negative/speech_expanded/1673_1673-143396-0013_neg_063.wav,1673,1673-143396-0013,10.0,11.0,0.735174,hard,spirits,IH R IH,PLEROMA OR WORLD OF SPIRITS,WHEN THE MESSIAH WAS DELIVERED INTO THE HANDS OF THE JEWS THE CHRIST AN IMMORTAL AND IMPASSIBLE BEING FORSOOK HIS EARTHLY TABERNACLE FLEW BACK TO THE PLEROMA OR WORLD OF SPIRITS AND LEFT THE SOLITARY JESUS TO SUFFER TO COMPLAIN AND TO EXPIRE,estimated crop window contains <IY|IH> R <vowel>,0.700858,hard
dataset/negative/speech_expanded/5338_5338-284437-0000_neg_091.wav,5338,5338-284437-0000,3.0,4.0,0.592147,hard,appearance,IH R AH,EXCEEDINGLY PLAIN IN APPEARANCE,IT HAD NO ORNAMENTATION BEING EXCEEDINGLY PLAIN IN APPEARANCE,estimated crop window contains <IY|IH> R <vowel>,0.935292,hard
dataset/negative/speech_expanded/1995_1995-1836-0001_neg_017.wav,1995,1995-1836-0001,2.0,3.0,0.254893,medium,appearances,IH R AH,TO ALL APPEARANCES,AT LAST THE COTTON COMBINE WAS TO ALL APPEARANCES AN ASSURED FACT AND HE WAS SLATED FOR THE SENATE,estimated crop window contains <IY|IH> R <vowel>,0.474214,medium
dataset/negative/speech_expanded/4992_4992-41797-0017_neg_038.wav,4992,4992-41797-0017,2.0,3.0,0.24796,medium,,IY R IH,DON'T WORRY REPLIED,HE WOULDN'T SEARCH SO DON'T WORRY REPLIED CYRIL QUIETLY AND THE TWO LOOKED AT EACH OTHER AND KNEW THAT IT WAS SO,estimated crop window contains <IY|IH> R <vowel>,0.489118,medium
dataset/negative/speech_expanded/4970_4970-29095-0017_neg_055.wav,4970,4970-29095-0017,2.0,3.0,0.230018,medium,spirits,IH R IH,IN HIGH SPIRITS FROM,THE SIGHT SEERS RETURNED IN HIGH SPIRITS FROM THE CITY,estimated crop window contains <IY|IH> R <vowel>,0.368358,medium
dataset/negative/speech_expanded/5764_5764-299665-0097_neg_051.wav,5764,5764-299665-0097,7.0,8.0,0.184215,medium,erect,IH R EH,STAND ERECT AND,IT IS FAR BETTER TO BE FREE TO LEAVE THE FORTS AND BARRICADES OF FEAR TO STAND ERECT AND FACE THE FUTURE WITH A SMILE,estimated crop window contains <IY|IH> R <vowel>,0.769879,hard
dataset/negative/speech_expanded/5536_5536-43358-0018_neg_077.wav,5536,5536-43358-0018,4.0,5.0,0.179491,medium,spirit,IH R AH,AS A LOFTY SPIRIT ABSORBED,IN HIS OWN THOUGHT HE ROSE SUPERIOR TO THEM HE SCORNED THEM EVEN AS A LOFTY SPIRIT ABSORBED IN ITS STERN TASK REJECTS THE SOFT BEDS THE LUXURIOUS FOOD THE PLEASURE WORSHIPING DALLIANCE OF A RICH NEIGHBOR,estimated crop window contains <IY|IH> R <vowel>,0.197043,medium
