validation_example_id,source_path,speaker_id,chapter_id,utterance_id,crop_index,crop_start_sec,crop_end_sec,utterance_dur_sec,source_flac,transcript,score,timing_method
8297_8297-275156-0000_neg_005,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\8297_8297-275156-0000_neg_005.wav,8297,275156,8297-275156-0000,5,2.0,3.0,3.58,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\8297\275156\8297-275156-0000.flac,WHAT ARE YOU DOING HERE HE ASKED,0.9834396243095398,xcorr(ncc=1.0000)
1988_1988-147956-0024_neg_085,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0024_neg_085.wav,1988,147956,1988-147956-0024,85,2.0,3.0,3.085,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0024.flac,SHE GOT UP ON HER KNEES AND WRUNG HER HANDS,0.9744271039962769,xcorr(ncc=1.0000)
8297_8297-275154-0001_neg_029,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\8297_8297-275154-0001_neg_029.wav,8297,275154,8297-275154-0001,29,5.0,6.0,10.34,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\8297\275154\8297-275154-0001.flac,THE SAILING MASTER ANNOUNCED THAT HE HAD ORDERS TO TAKE THE VESSEL BACK TO HER PORT WITH NO OTHER EXPLANATION THAN THAT THE CRUISE WAS OVER,0.9345709681510925,xcorr(ncc=1.0000)
1988_1988-147956-0008_neg_024,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0008_neg_024.wav,1988,147956,1988-147956-0008,24,1.0,2.0,14.92,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0008.flac,SHE MADE MISSUS SHIMERDA UNDERSTAND THE FRIENDLY INTENTION OF OUR VISIT AND THE BOHEMIAN WOMAN HANDLED THE LOAVES OF BREAD AND EVEN SMELLED THEM AND EXAMINED THE PIES WITH LIVELY CURIOSITY EXCLAIMING MUCH GOOD MUCH THANK,0.9338834285736084,xcorr(ncc=1.0000)
116_116-288045-0011_neg_070,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\116_116-288045-0011_neg_070.wav,116,288045,116-288045-0011,70,6.0,7.0,9.11,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-other\116\288045\116-288045-0011.flac,IT MADE ATHENS A CITY OF LIGHT IT CREATED THE BEAUTIFUL THE TRUE THE GOOD YES OUR RELIGION WAS DIVINE,0.9208042025566101,xcorr(ncc=1.0000)
1988_1988-147956-0019_neg_037,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0019_neg_037.wav,1988,147956,1988-147956-0019,37,2.0,3.0,6.135,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0019.flac,WE STOOD PANTING ON THE EDGE OF THE RAVINE LOOKING DOWN AT THE TREES AND BUSHES THAT GREW BELOW US,0.9080240726470947,xcorr(ncc=1.0000)
1988_1988-147956-0027_neg_018,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0027_neg_018.wav,1988,147956,1988-147956-0027,18,6.0,7.0,7.73,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0027.flac,AFTER ANTONIA HAD SAID THE NEW WORDS OVER AND OVER SHE WANTED TO GIVE ME A LITTLE CHASED SILVER RING SHE WORE ON HER MIDDLE FINGER,0.9018825888633728,xcorr(ncc=1.0000)
2136_2136-5147-0034_neg_005,E:\SIH\ira-wakeword\dataset\negative\speech\2136_2136-5147-0034_neg_005.wav,2136,5147,2136-5147-0034,5,5.168,6.168,15.47,D:\SIH\ira-wakeword\dataset\negative\extracted\LibriSpeech\train-clean-5\2136\5147\2136-5147-0034.flac,THAT I THINK I SHOULD HAVE LAUGHED IF THE SENTIMENT HAD NOT BEEN SO AWFULLY IRREVERENT WELL DEAR HOW IS OUR FRIEND THE MILLINER MADAME IS SUFFERING SO MUCH FROM PAIN IN HER EAR THAT SHE SAYS IT WOULD BE QUITE IMPOSSIBLE TO HAVE THE HONOUR HONOUR FIDDLE,0.8797996640205383,xcorr(ncc=1.0000)
1988_1988-147956-0008_neg_033,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\1988_1988-147956-0008_neg_033.wav,1988,147956,1988-147956-0008,33,0.0,1.0,14.92,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\dev-clean\1988\147956\1988-147956-0008.flac,SHE MADE MISSUS SHIMERDA UNDERSTAND THE FRIENDLY INTENTION OF OUR VISIT AND THE BOHEMIAN WOMAN HANDLED THE LOAVES OF BREAD AND EVEN SMELLED THEM AND EXAMINED THE PIES WITH LIVELY CURIOSITY EXCLAIMING MUCH GOOD MUCH THANK,0.870717465877533,xcorr(ncc=1.0000)
4446_4446-2275-0029_neg_007,D:\SIH\ira-wakeword\dataset\negative\speech_expanded\4446_4446-2275-0029_neg_007.wav,4446,2275,4446-2275-0029,7,2.0,3.0,6.28,D:\SIH\ira-wakeword\dataset\negative\downloads\LibriSpeech\test-clean\4446\2275\4446-2275-0029.flac,PLEASE TELL ME ONE THING BARTLEY AT LEAST TELL ME THAT YOU BELIEVE I THOUGHT I WAS MAKING YOU HAPPY,0.8687583208084106,xcorr(ncc=1.0000)
