path,group,category,v1_score,v2_score,score_delta
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0000_neg_002.wav,librispeech,speech,0.000000,0.046530,0.046529
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0000_neg_007.wav,librispeech,speech,0.000000,0.004593,0.004593
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0001_neg_009.wav,librispeech,speech,0.001052,0.051371,0.050319
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0002_neg_007.wav,librispeech,speech,0.000019,0.002922,0.002902
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0003_neg_002.wav,librispeech,speech,0.000001,0.076041,0.076040
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0003_neg_004.wav,librispeech,speech,0.000067,0.116250,0.116184
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0003_neg_008.wav,librispeech,speech,0.000000,0.067270,0.067270
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0004_neg_001.wav,librispeech,speech,0.000000,0.154260,0.154260
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0004_neg_007.wav,librispeech,speech,0.000028,0.000932,0.000903
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0006_neg_003.wav,librispeech,speech,0.000000,0.006314,0.006314
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0006_neg_004.wav,librispeech,speech,0.003233,0.588319,0.585086
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0007_neg_003.wav,librispeech,speech,0.000001,0.015034,0.015033
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0007_neg_004.wav,librispeech,speech,0.000001,0.055860,0.055859
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0007_neg_006.wav,librispeech,speech,0.000001,0.001531,0.001530
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0008_neg_002.wav,librispeech,speech,0.001047,0.494531,0.493484
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0008_neg_008.wav,librispeech,speech,0.000002,0.117623,0.117620
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0009_neg_002.wav,librispeech,speech,0.000005,0.067302,0.067297
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0009_neg_004.wav,librispeech,speech,0.000052,0.004516,0.004464
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0009_neg_005.wav,librispeech,speech,0.801017,0.494837,-0.306180
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0010_neg_000.wav,librispeech,speech,0.000020,0.112615,0.112596
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0010_neg_012.wav,librispeech,speech,0.000000,0.009492,0.009492
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0010_neg_015.wav,librispeech,speech,0.000006,0.325459,0.325453
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0011_neg_000.wav,librispeech,speech,0.000032,0.002359,0.002326
E:\SIH\ira-wakeword\dataset\negative\speech\1088_1088-134315-0012_neg_004.wav,librispeech,speech,0.000075,0.002283,0.002209
